,id,Label
0,1,MEDIEVAL
1,2,IONIAN
2,3,mi#
3,4,mi#M
4,5,fa##ṁ
5,6,sol##ṁ
6,7,la#M
7,8,si#M
8,9,do##ṁ
9,10,re##°
10,11,la#
11,12,si#ṁ
12,13,re#M
13,14,sol##°
14,15,re#
15,16,mi#ṁ
16,17,sol#M
17,18,do##°
18,19,sol#
19,20,la#ṁ
20,21,do#M
21,22,fa##°
22,23,do#
23,24,re#ṁ
24,25,fa#M
25,26,si#°
26,27,fa#
27,28,sol#ṁ
28,29,siM
29,30,mi#°
30,31,si♮
31,32,do#ṁ
32,33,miM
33,34,la#°
34,35,mi♮
35,36,fa#ṁ
36,37,laM
37,38,re#°
38,39,la♮
39,40,siṁ
40,41,reM
41,42,sol#°
42,43,re♮
43,44,miṁ
44,45,solM
45,46,do#°
46,47,sol♮
47,48,laṁ
48,49,doM
49,50,fa#°
50,51,do♮
51,52,reṁ
52,53,faM
53,54,si°
54,55,fa♮
55,56,solṁ
56,57,sibM
57,58,mi°
58,59,sib
59,60,doṁ
60,61,mibM
61,62,la°
62,63,mib
63,64,faṁ
64,65,labM
65,66,re°
66,67,lab
67,68,sibṁ
68,69,rebM
69,70,sol°
70,71,reb
71,72,mibṁ
72,73,solbM
73,74,do°
74,75,solb
75,76,labṁ
76,77,dobM
77,78,fa°
78,79,dob
79,80,rebṁ
80,81,fabM
81,82,sib°
82,83,fab
83,84,solbṁ
84,85,sibbM
85,86,mib°
